"","Date","Team","Acquired","Relinquished","Notes"
"513","2016-09-26","Cavaliers","• Cory Jefferson","","signed free agent"
"514","2016-09-26","Cavaliers","• DeAndre Liggins","","signed free agent to a 1-year minimum contract"
"515","2016-09-26","Cavaliers","• Eric Moreland","","signed unrestricted free agent to a training camp contract"
"516","2016-09-26","Cavaliers","• John Holland","","signed free agent"
"517","2016-09-26","Cavaliers","• Jonathan Holmes","","signed free agent"
"518","2016-09-26","Celtics","","• Abdel Nader","waived"
"519","2016-09-26","Celtics","• Damion Lee","","signed free agent"
"520","2016-09-26","Celtics","• Jalen Jones","","signed free agent"
"521","2016-09-26","Celtics","• Marcus Georges-Hunt","","signed free agent"
"522","2016-09-26","Clippers","• Dorell Wright","","signed unrestricted free agent"
"523","2016-09-26","Clippers","• Xavier Munford","","signed free agent"
"524","2016-09-26","Grizzlies","• Chris Crawford (b)","","signed free agent (P)"
"525","2016-09-26","Nets","• Chase Budinger","","signed unrestricted free agent"
"526","2016-09-26","Nets","• Jorge Gutierrez","","signed unrestricted free agent"
"527","2016-09-26","Pistons","• Nikola Jovanovic","","signed free agent"
"528","2016-09-26","Pistons","• Trey Freeman","","signed free agent (CBC)"
"529","2016-09-26","Spurs","• Joel Anthony","","signed free agent"
"530","2016-09-26","Spurs","• Nicolas Laprovittola","","signed free agent"
"531","2016-09-26","Spurs","• Ryan Richards","","signed free agent"
"532","2016-09-26","Timberwolves","• John Lucas III","","signed free agent (CBC)"
"533","2016-09-26","Timberwolves","• Rasual Butler","","signed free agent"
"534","2016-09-26","Timberwolves","• Toure' Murry / Toure Murry","","signed free agent"
"535","2016-09-29","Rockets","• P.J. Hairston","","signed unrestricted free agent to a non-guaranteed contract"
"536","2016-09-29","Spurs","","• Ryan Richards","waived"
"537","2016-10-01","Hawks","","• Richard Solomon","waived"
"538","2016-10-02","Hawks","• Josh Magette","","signed free agent"
"539","2016-10-02","Pelicans","","• Chris Copeland","waived"
"540","2016-10-03","Cavaliers","","• Eric Moreland","waived"
"541","2016-10-03","Cavaliers","• Toney Douglas","","signed free agent"
"542","2016-10-03","Spurs","• Joel Anthony","","signed free agent"
"543","2016-10-04","Bulls","","• Vincent Hunter / Vince Hunter","waived"
"544","2016-10-04","Hawks","","• Richard Solomon","waived"
"545","2016-10-04","Hawks","• Josh Magette","","signed free agent (P)"
"546","2016-10-05","Bucks","","• Jabari Brown","waived"
"547","2016-10-07","Bucks","","• Jabari Brown","waived (CBS S)"
"548","2016-10-07","Grizzlies","","• Tony Wroten Jr.","waived"
"549","2016-10-08","Bulls","","• Vincent Hunter / Vince Hunter","waived"
"550","2016-10-09","Grizzlies","• Vincent Hunter / Vince Hunter","","signed free agent"
"551","2016-10-09","Warriors","","• Elgin Cook","waived"
"552","2016-10-09","Warriors","","• Scott Wood","waived"
"553","2016-10-10","Suns","","• Derek Cooke Jr.","waived"
"554","2016-10-10","Suns","","• Gracin Bakumanya","waived"
"555","2016-10-10","Suns","","• Shaquille Harrison","waived"
"556","2016-10-11","Knicks","• Damien Inglis","","signed free agent"
"557","2016-10-12","Clippers","","• Dorell Wright","waived"
"558","2016-10-12","Clippers","","• Xavier Munford","waived"
"559","2016-10-12","Lakers","","• Julian Jacobs","waived"
"560","2016-10-12","Lakers","","• Travis Wear","waived"
"561","2016-10-12","Lakers","","• Zach Auguste","waived"
"562","2016-10-13","Jazz","","• Eric Dawson","waived"
"563","2016-10-13","Jazz","","• Marcus Paige","waived"
"564","2016-10-13","Jazz","","• Quincy Ford","waived"
"565","2016-10-14","Cavaliers","","• Toney Douglas","waived"
"566","2016-10-15","Blazers","","• Luis Montero","waived"
"567","2016-10-15","Nuggets","","• Axel Toupane","waived"
"568","2016-10-15","Nuggets","","• D.J. Kennedy","waived"
"569","2016-10-15","Nuggets","","• JaKarr Sampson","waived"
"570","2016-10-16","Magic","","• Branden Dawson","waived"
"571","2016-10-16","Magic","","• Cliff Alexander","waived"
"572","2016-10-16","Magic","","• Kevin Murphy","waived"
"573","2016-10-16","Mavericks","","• Jameel Warney","waived"
"574","2016-10-16","Rockets","","• Isaiah Taylor","waived"
"575","2016-10-17","Bucks","• Tony Snell","• Michael Carter-Williams","trade with Bulls"
"576","2016-10-17","Bulls","• Michael Carter-Williams","• Tony Snell","trade with Bucks"
"577","2016-10-17","Hawks","","• Matt Costello","waived"
"578","2016-10-17","Heat","","• Stefan Jankovic","waived"
"579","2016-10-17","Mavericks","• Jaleel Cousins","","signed free agent"
"580","2016-10-17","Pacers","","• Alex Poythress","waived"
"581","2016-10-17","Pacers","","• Nick Zeisloft","waived"
"582","2016-10-17","Pelicans","• Quincy Ford","","signed free agent"
"583","2016-10-17","Pistons","","• Nikola Jovanovic","waived"
"584","2016-10-17","Thunder","","• Alex Caruso","waived"
"585","2016-10-17","Thunder","• Reggie Williams","","signed free agent"
"586","2016-10-18","Hawks","","• Ryan Kelly","waived (R)"
"587","2016-10-18","Heat","","• Keith Benson","waived"
"588","2016-10-18","Heat","• Luis Montero","","signed free agent"
"589","2016-10-18","Nets","","• Beau Beech","waived"
"590","2016-10-18","Nets","","• Chase Budinger","waived"
"591","2016-10-18","Nets","","• Egidijus Mockevicius","waived"
"592","2016-10-18","Nets","","• Jorge Gutierrez","waived"
"593","2016-10-19","Kings","","• Lamar Patterson","waived"
"594","2016-10-19","Thunder","","• Reggie Williams","waived"
"595","2016-10-20","Cavaliers","","• Cory Jefferson","waived"
"596","2016-10-20","Cavaliers","","• Jonathan Holmes","waived"
"597","2016-10-20","Cavaliers","","• Markel Brown","waived"
"598","2016-10-20","Celtics","","• Damion Lee","waived"
"599","2016-10-20","Celtics","","• Jalen Jones","waived"
"600","2016-10-20","Celtics","","• Marcus Georges-Hunt","waived"
"601","2016-10-20","Grizzlies","","• Chris Crawford (b)","waived"
"602","2016-10-20","Grizzlies","","• Vincent Hunter / Vince Hunter","waived"
"603","2016-10-20","Grizzlies","• Kellen Dunham","","signed free agent"
"604","2016-10-20","Grizzlies","• Matt Costello","","signed free agent"
"605","2016-10-20","Hawks","","• Jarrett Jack","waived"
"606","2016-10-20","Hornets","","• Andrew Andrews","waived"
"607","2016-10-20","Jazz","","• Henry Sims","waived"
"608","2016-10-20","Warriors","","• Cameron Jones","waived"
"609","2016-10-20","Warriors","","• Elliot Williams","waived"
"610","2016-10-20","Warriors","","• Phil Pressey","waived"
"611","2016-10-21","Bulls","","• D'Vauntes Smith-Rivera","waived"
"612","2016-10-21","Bulls","","• J.J. Avila","waived"
"613","2016-10-21","Bulls","","• Spencer Dinwiddie","waived"
"614","2016-10-21","Bulls","","• Thomas Walkup","waived"
"615","2016-10-21","Celtics","","• Ben Bentil","waived"
"616","2016-10-21","Grizzlies","","• Kellen Dunham","waived"
"617","2016-10-21","Grizzlies","• JaKarr Sampson","","signed free agent"
"618","2016-10-21","Hawks","","• Will Bynum","waived (R)"
"619","2016-10-21","Knicks","","• Chasson Randle","waived"
"620","2016-10-21","Knicks","","• Cleanthony Early","waived"
"621","2016-10-21","Knicks","","• Damien Inglis","waived"
"622","2016-10-21","Knicks","","• J.P. Tokoto","waived"
"623","2016-10-21","Knicks","","• Louis Amundson / Lou Amundson","waived"
"624","2016-10-21","Magic","• Ramon Galloway","","signed free agent"
"625","2016-10-21","Nets","","• Yogi Ferrell","waived"
"626","2016-10-21","Pelicans","","• Robert Sacre","waived (R)"
"627","2016-10-21","Pelicans","","• Shawn Dawson","waived (R)"
"628","2016-10-21","Thunder","","• Reggie Williams","waived"
"629","2016-10-21","Warriors","• Chris Obekpa","","signed free agent"
"630","2016-10-21","Hawks","","• Ryan Kelly","waived (CBS S)"
"631","2016-10-21","Kings","• Lamar Patterson","","signed free agent"
"632","2016-10-21","Celtics","• Ryan Kelly","","signed free agent"
"633","2016-10-22","76ers","","• Elton Brand","waived"
"634","2016-10-22","Blazers","","• Grant Jerrett","waived"
"635","2016-10-22","Blazers","","• Greg Stiemsma","waived"
"636","2016-10-22","Bucks","","• J.J. O'Brien","waived"
"637","2016-10-22","Bucks","","• Jaleel Roberts","waived"
"638","2016-10-22","Bucks","","• Orlando Johnson","waived"
"639","2016-10-22","Cavaliers","","• John Holland","waived"
"640","2016-10-22","Celtics","","• Ryan Kelly","waived"
"641","2016-10-22","Grizzlies","","• D.J. Stephens","waived"
"642","2016-10-22","Grizzlies","","• JaKarr Sampson","waived"
"643","2016-10-22","Grizzlies","","• Wayne Selden Jr.","waived"
"644","2016-10-22","Hawks","","• Josh Magette","waived"
"645","2016-10-22","Heat","","• Beno Udrih","waived"
"646","2016-10-22","Heat","","• Briante Weber","waived"
"647","2016-10-22","Heat","","• Luis Montero","waived"
"648","2016-10-22","Heat","","• Okaro White","waived"
"649","2016-10-22","Heat","","• Vashil Fernandez","waived"
"650","2016-10-22","Hornets","","• Mike Tobey","waived"
"651","2016-10-22","Hornets","","• Perry Ellis","waived"
"652","2016-10-22","Hornets","","• Rasheed Sulaimon","waived"
"653","2016-10-22","Jazz","","• Chris Johnson (b)","waived"
"654","2016-10-22","Magic","","• Nick Johnson","waived"
"655","2016-10-22","Magic","","• Ramon Galloway","waived"
"656","2016-10-22","Mavericks","","• C.J. Williams","waived"
"657","2016-10-22","Mavericks","","• Jaleel Cousins","waived"
"658","2016-10-22","Mavericks","","• Jonathan Gibson","waived"
"659","2016-10-22","Mavericks","","• Keith Hornsby","waived"
"660","2016-10-22","Mavericks","","• Kyle Collinsworth","waived"
"661","2016-10-22","Nuggets","","• Nate Wolters","waived"
"662","2016-10-22","Nuggets","","• Robbie Hummel","waived"
"663","2016-10-22","Pelicans","","• Quincy Ford","waived"
"664","2016-10-22","Pelicans","","• Quinn Cook","waived"
"665","2016-10-22","Pistons","","• Lorenzo Brown","waived"
"666","2016-10-22","Pistons","","• Trey Freeman","waived"
"667","2016-10-22","Pistons","• Hamady Ndiaye / Hamady N'Diaye","","signed free agent"
"668","2016-10-22","Raptors","","• Brady Heslip","waived"
"669","2016-10-22","Raptors","","• Drew Crawford","waived"
"670","2016-10-22","Raptors","","• E.J. Singler","waived"
"671","2016-10-22","Raptors","","• Jarrod Uthoff","waived"
"672","2016-10-22","Raptors","","• Yanick Moreira","waived"
"673","2016-10-22","Rockets","","• P.J. Hairston","waived"
"674","2016-10-22","Spurs","","• Joel Anthony","waived"
"675","2016-10-22","Spurs","","• Livio Jean-Charles","waived"
"676","2016-10-22","Spurs","","• Patricio Garino","waived"
"677","2016-10-22","Spurs","","• Ryan Arcidiacono","waived"
"678","2016-10-22","Timberwolves","","• Rasual Butler","waived"
"679","2016-10-22","Timberwolves","","• Toure' Murry / Toure Murry","waived"
"680","2016-10-22","Warriors","","• Chris Obekpa","waived"
"681","2016-10-22","Wizards","","• Casper Ware","waived"
"682","2016-10-22","Wizards","","• Jarell Eddie","waived"
"683","2016-10-22","Wizards","","• Johnny O'Bryant III","waived"
"684","2016-10-22","Pistons","• Mamadou N'diaye","","signed free agent"
"685","2016-10-22","Rockets","• Le'Bryan Nash","","signed free agent"
"686","2016-10-22","Pistons","","• Mamadou N'diaye","waived"
"687","2016-10-22","Rockets","","• Le'Bryan Nash","waived"
"688","2016-10-23","Hawks","","• Will Bynum","waived (S)"
"689","2016-10-23","Pacers","","• Jeremy Evans","waived"
"690","2016-10-23","Pacers","","• Julyan Stone","waived"
"691","2016-10-23","Pelicans","","• Robert Sacre","waived (CBS)"
"692","2016-10-23","Pelicans","","• Shawn Dawson","waived (CBS S)"
"693","2016-10-24","76ers","","• Anthony Barber / Cat Barber","waived"
"694","2016-10-24","76ers","","• Brandon Paul","waived"
"695","2016-10-24","76ers","","• James Webb III","waived"
"696","2016-10-24","76ers","","• Shawn Long","waived"
"697","2016-10-24","Bucks","","• J.J. O'Brien","waived (CBS S)"
"698","2016-10-24","Bucks","","• Jaleel Roberts","waived (CBS S)"
"699","2016-10-24","Bucks","","• Orlando Johnson","waived (CBS S)"
"700","2016-10-24","Cavaliers","","• Dahntay Jones","waived"
"701","2016-10-24","Celtics","","• Damion Lee","waived"
"702","2016-10-24","Celtics","","• Jalen Jones","waived"
"703","2016-10-24","Celtics","","• Marcus Georges-Hunt","waived"
"704","2016-10-24","Celtics","","• R.J. Hunter","waived"
"705","2016-10-24","Clippers","","• Jeff Ayres / Jeff Pendergraph","waived"
"706","2016-10-24","Grizzlies","","• Jordan Adams","waived"
"707","2016-10-24","Grizzlies","","• Kellen Dunham","waived (P)"
"708","2016-10-24","Grizzlies","","• Matt Costello","waived"
"709","2016-10-24","Kings","","• Isaiah Cousins","waived"
"710","2016-10-24","Kings","","• Jordan Farmar","waived"
"711","2016-10-24","Kings","","• Lamar Patterson","waived"
"712","2016-10-24","Lakers","","• Anthony Brown","waived"
"713","2016-10-24","Lakers","","• Yi Jianlian / Jianlian Yi","waived"
"714","2016-10-24","Mavericks","","• Jaleel Cousins","waived"
"715","2016-10-24","Pelicans","","• Alonzo Gee","waived"
"716","2016-10-24","Pistons","","• Mamadou N'diaye","waived (P)"
"717","2016-10-24","Pistons","","• Ray McCallum Jr.","waived"
"718","2016-10-24","Rockets","","• Gary Payton II","waived"
"719","2016-10-24","Rockets","","• P.J. Hairston","waived"
"720","2016-10-24","Rockets","","• Pablo Prigioni","waived"
"721","2016-10-24","Suns","","• Archie Goodwin","waived"
"722","2016-10-24","Thunder","","• Chris Wright (c)","waived"
"723","2016-10-24","Thunder","","• Kaleb Tarczewski","waived"
"724","2016-10-24","Thunder","","• Mitch McGary","waived"
"725","2016-10-24","Thunder","","• Reggie Williams","waived"
"726","2016-10-24","Thunder","","• Ronnie Price","waived"
"727","2016-10-24","76ers","• Dionte Christmas","","signed free agent"
"728","2016-10-24","Pacers","• Ben Bentil","","signed free agent"
"729","2016-10-24","76ers","","• Dionte Christmas","waived"
"730","2016-10-24","Pacers","","• Ben Bentil","waived"
"731","2016-10-27","Bulls","• R.J. Hunter","","signed free agent"
"732","2016-10-31","Hawks","","• Walter Tavares / Edy Tavares","waived"
"733","2016-10-31","Hawks","• Ryan Kelly","","signed free agent for the remainder of the season"
"734","2016-11-01","76ers","• Ersan Ilyasova• 2020 first round pick (protected top 20 in 2020, else 2022 second round pick, 2023 second round pick) (?-?)","• Jerami Grant","trade with Thunder"
"735","2016-11-01","Thunder","• Jerami Grant","• Ersan Ilyasova• 2020 first round pick (protected top 20 in 2020, else 2022 second round pick, 2023 second round pick) (?-?)","trade with 76ers"
"736","2016-11-02","Kings","• Jordan Farmar","","signed free agent for the remainder of the season"
"737","2016-11-07","Kings","","• Jordan Farmar","waived"
"738","2016-11-07","Pelicans","","• Lance Stephenson","waived"
"739","2016-11-07","Pelicans","• Archie Goodwin","","signed free agent to a 2-year contract / contract for the remainder of the season (NBA)"
"740","2016-11-09","Nets","• Yogi Ferrell","","signed free agent for the remainder of the season"
"741","2016-11-09","Nets","","• Greivis Vasquez","waived"
"742","2016-11-15","Nuggets","","• Jarnell Stokes","waived"
"743","2016-11-16","Nuggets","• Alonzo Gee","","signed free agent for the remainder of the season"
"744","2016-11-17","Mavericks","","• Quincy Acy","waived"
"745","2016-11-17","Mavericks","• Jonathan Gibson","","signed free agent for the remainder of the season"
"746","2016-11-20","Pelicans","","• Archie Goodwin","waived"
"747","2016-11-21","Pelicans","• Anthony Brown","","signed free agent for the remainder of the season"
"748","2016-12-05","Grizzlies","• Toney Douglas","","signed free agent for the remainder of the season"
"749","2016-12-05","Rockets","","• Bobby Brown","waived"
"750","2016-12-08","Nets","","• Yogi Ferrell","waived"
"751","2016-12-08","Nets","• Spencer Dinwiddie","","signed free agent for the remainder of the season"
"752","2016-12-09","Pelicans","","• Anthony Brown","waived"
"753","2016-12-10","Pelicans","• Reggie Williams","","signed free agent for the remainder of the season"
"754","2016-12-15","Grizzlies","","• Toney Douglas","waived"
"755","2016-12-16","Rockets","• Bobby Brown","","signed free agent for the remainder of the season"
"756","2016-12-27","Mavericks","","• Jonathan Gibson","waived"
"757","2016-12-27","Mavericks","• Pierre Jackson","","signed free agent to a 2-year contract"
"758","2016-12-27","Spurs","","• Nicolas Laprovittola","waived"
"759","2016-12-29","Bulls","","• R.J. Hunter","waived"
"760","2017-01-01","Pelicans","","• Reggie Williams","waived"
"761","2017-01-03","Hornets","","• Aaron Harrison","waived"
"762","2017-01-03","Pelicans","• Donatas Motiejunas","","signed unrestricted free agent for the remainder of the season"
"763","2017-01-04","76ers","","• Hollis Thompson","waived"
"764","2017-01-06","Blazers","• 2017 first round pick (#26-Caleb Swanigan)","• 2018 first round pick (#25-Moritz Wagner / Moe Wagner)","trade with Cavaliers"
"765","2017-01-06","Cavaliers","• 2018 first round pick (#25-Moritz Wagner / Moe Wagner)","• 2017 first round pick (#26-Caleb Swanigan)","trade with Blazers"
"766","2017-01-06","Hawks","","• Ryan Kelly","waived"
"767","2017-01-06","Magic","","• Arinze Onuaku","waived"
"768","2017-01-06","Mavericks","","• Pierre Jackson","waived"
"769","2017-01-06","Nuggets","","• Alonzo Gee","waived"
"770","2017-01-06","Suns","","• John Jenkins","waived"
"771","2017-01-07","Timberwolves","","• John Lucas III","waived"
"772","2017-01-07","Cavaliers","• Kyle Korver","• Mike Dunleavy• Maurice Williams / Mo Williams• first round pick (protected top 10 in 2019-20, else 2021 second round pick and 2022 second round pick) (?-?)• cash considerations","trade with Hawks"
"773","2017-01-07","Hawks","• Mike Dunleavy• Maurice Williams / Mo Williams• first round pick (protected top 10 in 2019-20, else 2021 second round pick and 2022 second round pick) (?-?)• cash considerations","• Kyle Korver","trade with Cavaliers"
"774","2017-01-08","Nuggets","• Alonzo Gee","","signed free agent to a 10-day contract"
"775","2017-01-09","Nets","","• Anthony Bennett","waived"
"776","2017-01-10","76ers","• Chasson Randle","","signed free agent to a 10-day contract"
"777","2017-01-10","Nets","• Quincy Acy","","signed free agent to a 10-day contract"
"778","2017-01-15","Mavericks","• Pierre Jackson","","signed free agent to a 10-day contract"
"779","2017-01-17","Heat","• Okaro White","","signed free agent to a 10-day contract"
"780","2017-01-18","Hawks","• Gary Neal","","signed free agent to a 10-day contract"
"781","2017-01-18","Nuggets","","• Alonzo Gee","waived / player became a free agent"
"782","2017-01-18","Hawks","• rights to Cenk Akyol• traded player exception","• Maurice Williams / Mo Williams• cash","trade with Nuggets"
"783","2017-01-18","Nuggets","• Maurice Williams / Mo Williams• cash","• rights to Cenk Akyol• traded player exception","trade with Hawks"
"784","2017-01-18","Nuggets","","• Maurice Williams / Mo Williams","waived"
"785","2017-01-20","76ers","","• Maurice Williams / Mo Williams","waived"
"786","2017-01-21","Nuggets","","• Maurice Williams / Mo Williams","waived"
"787","2017-01-22","Magic","• Anthony Brown","","signed free agent to a 10-day contract"
"788","2017-01-23","Spurs","• Joel Anthony","","signed free agent to a 10-day contract"
"789","2017-01-24","Nuggets","","• Maurice Williams / Mo Williams","waived"
"790","2017-01-26","Nuggets","• Johnny O'Bryant III","","signed free agent to a 10-day contract"
"791","2017-01-27","Hawks","","• Gary Neal","player became a free agent"
"792","2017-01-27","Hawks","• Lamar Patterson","","signed free agent to a 10-day contract"
"793","2017-01-27","Suns","• Ronnie Price","","signed free agent to a 10-day contract"
"794","2017-01-28","Mavericks","","• Pierre Jackson","waived"
"795","2017-01-28","Mavericks","• Yogi Ferrell","","signed free agent to a 10-day contract"
"796","2017-01-29","Hawks","","• Gary Neal","waived"
"797","2017-01-29","Hawks","• Lamar Patterson","","signed free agent to a 10-day contract"
"798","2017-01-30","Grizzlies","","• Troy Williams","waived"
"799","2017-01-30","Grizzlies","• Toney Douglas","","signed free agent to a 10-day contract"
"800","2017-01-31","Magic","","• Anthony Brown","waived / player became a free agent"
"801","2017-02-01","Grizzlies","","• Troy Williams","waived"
"802","2017-02-02","Bucks","","• Steve Novak","waived"
"803","2017-02-02","Bucks","• Roy Hibbert• Spencer Hawes","• Miles Plumlee• cash","trade with Hornets"
"804","2017-02-02","Hornets","• Miles Plumlee• cash","• Roy Hibbert• Spencer Hawes","trade with Bucks"
"805","2017-02-03","Hornets","• Mike Tobey","","signed free agent to a 10-day contract"
"806","2017-02-03","Hornets","• Ray McCallum Jr.","","signed free agent to a 10-day contract"
"807","2017-02-03","Magic","","• Anthony Brown","player became a free agent"
"808","2017-02-03","Warriors","","• Anderson Varejao","waived"
"809","2017-02-04","Warriors","• Briante Weber","","signed free agent to a 10-day contract"
"810","2017-02-06","Heat","","• Derrick Williams","waived"
"811","2017-02-08","Heat","• Marcus Georges-Hunt","","signed free agent to a 10-day contract"
"812","2017-02-08","Timberwolves","• Lance Stephenson","","signed free agent to a 10-day contract"
"813","2017-02-09","Cavaliers","• Derrick Williams","","signed free agent to a 10-day contract"
"814","2017-02-12","Blazers","• Jusuf Nurkic• first round pick (protected top 5 in 2017-18, unprotected in 2019) (2017 #20-Harry Giles)","• Mason Plumlee• 2018 second round pick (less favorable of Blazers, Kings picks) (#54-Shake Milton)• cash","trade with Nuggets"
"815","2017-02-12","Nuggets","• Mason Plumlee• 2018 second round pick (from Nuggets) (less favorable of Blazers, Kings picks) (#54-Shake Milton)• cash","• Jusuf Nurkic• first round pick (protected top 5 in 2017-18, unprotected in 2019) (2017 #20-Harry Giles)","trade with Blazers"
"816","2017-02-13","Cavaliers","• 2017 second round pick (protected top 55) (not exercised)","• Chris Andersen• cash","trade with Hornets"
"817","2017-02-13","Hornets","• Chris Andersen• cash","• 2017 second round pick (protected top 55) (not exercised)","trade with Cavaliers"
"818","2017-02-13","Hornets","","• Chris Andersen","waived"
"819","2017-02-14","Magic","• Terrence Ross• draft pick(s) (less favorable of Clippers, Raptors first round picks, Clippers pick protected top 14 in 2017-19, Raptors pick protected top 10 in 2017, top 14 in 2018-22, else Raptors 2022 second round pick, Raptors 2023 second round pick) (2017 #25-Anzejs Pasecniks)","• Serge Ibaka","trade with Raptors"
"820","2017-02-14","Raptors","• Serge Ibaka","• Terrence Ross• draft pick(s) (less favorable of Clippers, Raptors first round picks, Clippers pick protected top 14 in 2017-19, Raptors pick protected top 10 in 2017, top 14 in 2018-22, else Raptors 2022 second round pick, Raptors 2023 second round pick) (2017 #25-Anzejs Pasecniks)","trade with Magic"
"821","2017-02-17","Nuggets","","• Johnny O'Bryant III","waived"
"822","2017-02-19","Heat","","• Marcus Georges-Hunt","waived"
"823","2017-02-19","Kings","• Buddy Hield• Tyreke Evans• Langston Galloway• first round pick (protected top 3 in 2017, unprotected in 2018) (2017 #10-Zach Collins)• 2017 second round pick (#34-Frank Mason)","• DeMarcus Cousins• Omri Casspi","trade with Pelicans"
"824","2017-02-19","Pelicans","• DeMarcus Cousins• Omri Casspi","• Buddy Hield• Tyreke Evans• Langston Galloway• first round pick (protected top 3 in 2017, unprotected in 2018) (2017 #10-Zach Collins)• 2017 second round pick (#34-Frank Mason)","trade with Kings"
"825","2017-02-20","Kings","","• Matt Barnes","waived"
"826","2017-02-22","76ers","• Tiago Splitter• second round pick (protected top 40 in 2017, unprotected in 2018) (2017 #46-Sterling Brown)• 76ers option to swap 2017 second round picks (least favorable of Jazz, Knicks, Pistons, Warriors picks received in earlier trade with Jazz) with Hawks (Hawks pick protected #56-60) (#50-Mathias Lessort)","• Ersan Ilyasova• 76ers option to swap 2017 second round picks (least favorable of Jazz, Knicks, Pistons, Warriors picks received in earlier trade with Jazz) with Hawks (Hawks pick protected #56-60) (#60-Alpha Kaba)","trade with Hawks"
"827","2017-02-22","Hawks","• Ersan Ilyasova• 76ers option to swap 2017 second round picks (least favorable of Jazz, Knicks, Pistons, Warriors picks received in earlier trade with Jazz) with Hawks (Hawks pick protected #56-60) (#60-Alpha Kaba)","• Tiago Splitter• second round pick (protected top 40 in 2017, unprotected in 2018) (2017 #46-Sterling Brown)• 76ers option to swap 2017 second round picks (least favorable of Jazz, Knicks, Pistons, Warriors picks received in earlier trade with Jazz) with Hawks (Hawks pick protected #56-60) (#50-Mathias Lessort)","trade with 76ers"
"828","2017-02-22","Nets","• Andrew Nicholson• Marcus Thornton (T.)• first round pick (protected top 14 in 2017-21, top 10 in 2022, else 2022 second round pick, 2023 second round pick) (2017 #22-Jarrett Allen)","• Bojan Bogdanovic• Chris McCullough","trade with Wizards"
"829","2017-02-22","Wizards","• Bojan Bogdanovic• Chris McCullough","• Andrew Nicholson• Marcus Thornton (T.)• first round pick (protected top 14 in 2017-21, top 10 in 2022, else 2022 second round pick, 2023 second round pick) (2017 #22-Jarrett Allen)","trade with Nets"
"830","2017-02-23","76ers","","• Chasson Randle","waived"
"831","2017-02-23","76ers","• Andrew Bogut• Justin Anderson• conditional draft pick(s) (2017 first round pick protected top 18, else 2017 second round pick, 2020 second round pick (protected #56-60)) (2017 #39-Jawun Evans) (2020 ?-?)","• Nerlens Noel","trade with Mavericks"
"832","2017-02-23","Bucks","• 2019 second round pick (protected top 55) (?-?)","• Roy Hibbert","trade with Nuggets"
"833","2017-02-23","Bulls","• Cameron Payne• Joffrey Lauvergne• Anthony Morrow","• Taj Gibson• Doug McDermott• 2018 second round pick (#36-Mitchell Robinson)","trade with Thunder"
"834","2017-02-23","Hawks","• 2017 second round pick (protected top 55) (not exercised)","• Mike Scott• rights to Cenk Akyol• cash","trade with Suns"
"835","2017-02-23","Hornets","","• Mike Tobey","waived"
"836","2017-02-23","Hornets","","• Ray McCallum Jr.","waived"
"837","2017-02-23","Lakers","• Corey Brewer• 2017 first round pick (#28-Tony Bradley)","• Louis Williams / Lou Williams","trade with Rockets"
"838","2017-02-23","Lakers","• Tyler Ennis• rights to Brad Newley","• Marcelinho Huertas / Marcelo Huertas","trade with Rockets"
"839","2017-02-23","Mavericks","","• Deron Williams","waived"
"840","2017-02-23","Mavericks","• Nerlens Noel","• Andrew Bogut• Justin Anderson• conditional draft pick(s) (2017 first round pick protected top 18, else 2017 second round pick, 2020 second round pick (protected #56-60)) (2017 #39-Jawun Evans) (2020 ?-?)","trade with 76ers"
"841","2017-02-23","Nets","","• Marcus Thornton (T.)","waived"
"842","2017-02-23","Nets","• K.J. McDaniels","• cash considerations","trade with Rockets"
"843","2017-02-23","Nuggets","","• Johnny O'Bryant III","player became a free agent"
"844","2017-02-23","Nuggets","• Roy Hibbert","• 2019 second round pick (protected top 55) (?-?)","trade with Bucks"
"845","2017-02-23","Pelicans","• Hollis Thompson","","signed free agent to a 10-day contract"
"846","2017-02-23","Raptors","• P.J. Tucker","• Jared Sullinger• 2017 second round pick (#54-Alec Peters)• 2018 second round pick (#59-George King)","trade with Suns"
"847","2017-02-23","Rockets","• cash considerations","• K.J. McDaniels","trade with Nets"
"848","2017-02-23","Rockets","• Louis Williams / Lou Williams","• Corey Brewer• 2017 first round pick (#28-Tony Bradley)","trade with Lakers"
"849","2017-02-23","Rockets","• Marcelinho Huertas / Marcelo Huertas","• Tyler Ennis• rights to Brad Newley","trade with Lakers"
"850","2017-02-23","Suns","• Jared Sullinger• 2017 second round pick (#54-Alec Peters)• 2018 second round pick (#59-George King)","• P.J. Tucker","trade with Raptors"
"851","2017-02-23","Suns","• Mike Scott• rights to Cenk Akyol• cash","• 2017 second round pick (protected top 55) (not exercised)","trade with Hawks"
"852","2017-02-23","Thunder","• Taj Gibson• Doug McDermott• 2018 second round pick (#36-Mitchell Robinson)","• Cameron Payne• Joffrey Lauvergne• Anthony Morrow","trade with Bulls"
"853","2017-02-23","Pelicans","","• Terrence Jones","waived"
"854","2017-02-24","Heat","","• Marcus Georges-Hunt","player became a free agent"
"855","2017-02-24","Hornets","• Johnny O'Bryant III","","signed free agent to a 10-day contract"
"856","2017-02-24","Pelicans","• Jarrett Jack","","signed free agent to a 10-day contract"
"857","2017-02-24","Rockets","","• Marcelinho Huertas / Marcelo Huertas","waived"
"858","2017-02-24","Suns","","• Jared Sullinger","waived"
"859","2017-02-24","Suns","","• Mike Scott","waived"
