"","Date","Team","Acquired","Relinquished","Notes"
"151","2016-02-18","Rockets","• Joel Anthony• 2016 first round pick (protected top 8 in 2016, top 10 in 2017) (voided)","• Donatas Motiejunas• Marcus Thornton (T.)","trade with Pistons (trade later voided)"
"152","2016-02-18","76ers","• Joel Anthony• 2017 second round pick (not exercised)","• rights to Chukwudiebere Maduabum / Chu Chu Maduabum","trade with Rockets (trade later voided)"
"153","2016-02-18","Rockets","• rights to Chukwudiebere Maduabum / Chu Chu Maduabum","• Joel Anthony• 2017 second round pick (not exercised)","trade with 76ers (trade later voided)"
"154","2016-02-22","76ers","• rights to Chukwudiebere Maduabum / Chu Chu Maduabum","• Joel Anthony• 2017 second round pick (not exercised)","earlier trade with Rockets rescinded"
"155","2016-02-22","Pistons","• Joel Anthony• 2016 first round pick (protected top 8 in 2016, top 10 in 2017) (voided)","• Donatas Motiejunas• Marcus Thornton (T.)","earlier trade with Rockets voided by NBA"
"156","2016-02-22","Rockets","• Donatas Motiejunas• Marcus Thornton (T.)","• Joel Anthony• 2016 first round pick (protected top 8 in 2016, top 10 in 2017) (voided)","earlier trade with Pistons voided by NBA"
"157","2016-02-22","Rockets","• Joel Anthony• 2017 second round pick (not exercised)","• rights to Chukwudiebere Maduabum / Chu Chu Maduabum","earlier trade with 76ers rescinded"
"158","2016-06-17","Bulls","• Spencer Dinwiddie","• Cameron Bairstow","trade with Pistons"
"159","2016-06-17","Pistons","• Cameron Bairstow","• Spencer Dinwiddie","trade with Bulls"
"160","2016-06-22","Bulls","• Robin Lopez• Jerian Grant• Jose Calderon","• Derrick Rose• Justin Holiday• 2017 second round pick (#44-Damyean Dotson)","trade with Knicks"
"161","2016-06-22","Knicks","• Derrick Rose• Justin Holiday• 2017 second round pick (#44-Damyean Dotson)","• Robin Lopez• Jerian Grant• Jose Calderon","trade with Bulls"
"162","2016-06-23","Blazers","• rights to Jake Layman","• 2019 second round pick (?-?)• cash considerations","trade with Magic"
"163","2016-06-23","Bucks","• cash considerations","• rights to Patrick McCaw","trade with Warriors"
"164","2016-06-23","Celtics","• first round pick (at least 2 years after Clippers convey first round pick to Raptors from earlier trade) (protected top 14 in 2019-20, else 2022 second round pick) (?-?)","• rights to Deyonta Davis• rights to Rade Zagorac","trade with Grizzlies"
"165","2016-06-23","Clippers","• rights to David Michineau• rights to Diamond Stone","• rights to Cheick Diallo","trade with Pelicans"
"166","2016-06-23","Grizzlies","• rights to Deyonta Davis• rights to Rade Zagorac","• first round pick (at least 2 years after Clippers convey first round pick to Raptors from earlier trade) (protected top 14 in 2019-20, else 2022 second round pick) (?-?)","trade with Celtics"
"167","2016-06-23","Jazz","• rights to Marcus Paige• cash considerations","• rights to Isaiah Whitehead","trade with Nets"
"168","2016-06-23","Kings","• rights to Bogdan Bogdanovic• rights to Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis• rights to Skal Labissiere• 2020 second round pick (?-?)","• rights to Marquese Chriss","trade with Suns"
"169","2016-06-23","Magic","• 2019 second round pick (?-?)• cash considerations","• rights to Jake Layman","trade with Blazers"
"170","2016-06-23","Magic","• Serge Ibaka","• Victor Oladipo• Ersan Ilyasova• rights to Domantas Sabonis / Domas Sabonis","trade with Thunder"
"171","2016-06-23","Nets","• rights to Isaiah Whitehead","• rights to Marcus Paige• cash considerations","trade with Jazz"
"172","2016-06-23","Nuggets","• cash considerations","• rights to Daniel Hamilton","trade with Thunder"
"173","2016-06-23","Pelicans","• rights to Cheick Diallo","• rights to David Michineau• rights to Diamond Stone","trade with Clippers"
"174","2016-06-23","Suns","• rights to Marquese Chriss","• rights to Bogdan Bogdanovic• rights to Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis• rights to Skal Labissiere• 2020 second round pick (?-?)","trade with Kings"
"175","2016-06-23","Thunder","• rights to Daniel Hamilton","• cash considerations","trade with Nuggets"
"176","2016-06-23","Thunder","• Victor Oladipo• Ersan Ilyasova• rights to Domantas Sabonis / Domas Sabonis","• Serge Ibaka","trade with Magic"
"177","2016-06-23","Warriors","• rights to Patrick McCaw","• cash considerations","trade with Bucks"
"178","2016-06-24","Cavaliers","• rights to Kahlil Felder / Kay Felder","• cash considerations","trade with Hawks"
"179","2016-06-24","Hawks","• cash considerations","• rights to Kahlil Felder / Kay Felder","trade with Cavaliers"
"180","2016-06-29","Magic","• Jodie Meeks","• 2019 conditional second round pick (less favorable of (a) Blazers pick and (b) most favorable of Cavaliers, Magic, Rockets picks) (?-?)","trade with Pistons"
"181","2016-06-29","Pistons","• 2019 conditional second round pick (less favorable of (a) Blazers pick and (b) most favorable of Cavaliers, Magic, Rockets picks) (?-?)","• Jodie Meeks","trade with Magic"
"182","2016-07-07","Blazers","• Shabazz Napier","• cash considerations","trade with Magic"
"183","2016-07-07","Bulls","• rights to Ater Majok","• Jose Calderon• 2018 second round pick (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk)• 2019 second round pick (?-?)","trade with Lakers"
"184","2016-07-07","Hawks","• rights to Taurean Prince• traded player exception","• Jeff Teague","3-team trade with Jazz, Pacers"
"185","2016-07-07","Hornets","• Marco Belinelli","• rights to Malachi Richardson","trade with Kings"
"186","2016-07-07","Jazz","• 2021 second round pick (?-?)","• Trey Burke","trade with Wizards"
"187","2016-07-07","Jazz","• Boris Diaw• 2022 second round pick (?-?)• cash","• rights to Olivier Hanlan• traded player exception","trade with Spurs"
"188","2016-07-07","Jazz","• George Hill","• rights to Taurean Prince","3-team trade with Hawks, Pacers"
"189","2016-07-07","Kings","• rights to Malachi Richardson","• Marco Belinelli","trade with Hornets"
"190","2016-07-07","Lakers","• Jose Calderon• 2018 second round pick (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk)• 2019 second round pick (?-?)","• rights to Ater Majok","trade with Bulls"
"191","2016-07-07","Magic","• cash considerations","• Shabazz Napier","trade with Blazers"
"192","2016-07-07","Mavericks","• Andrew Bogut• 2020 second round pick (?-?)","• 2019 second round pick (protected top 55) (?-?)• traded player exception","trade with Warriors"
"193","2016-07-07","Mavericks","• rights to Stanko Barac","• Jeremy Evans• rights to Emir Preldzic• cash considerations","trade with Pacers"
"194","2016-07-07","Nets","• rights to Caris LeVert• second round pick (protected #45-60 in 2017-22, unprotected in 2023) (?-?)","• Thaddeus Young","trade with Pacers"
"195","2016-07-07","Pacers","• Jeff Teague","• George Hill","3-team trade with Hawks, Jazz"
"196","2016-07-07","Pacers","• Jeremy Evans• rights to Emir Preldzic• cash considerations","• rights to Stanko Barac","trade with Mavericks"
"197","2016-07-07","Pacers","• Thaddeus Young","• rights to Caris LeVert• second round pick (protected #45-60 in 2017-22, unprotected in 2023) (?-?)","trade with Nets"
"198","2016-07-07","Spurs","• rights to Olivier Hanlan• traded player exception","• Boris Diaw• 2022 second round pick (?-?)• cash","trade with Jazz"
"199","2016-07-07","Warriors","• 2019 second round pick (protected top 55) (?-?)• traded player exception","• Andrew Bogut• 2020 second round pick (?-?)","trade with Mavericks"
"200","2016-07-07","Wizards","• Trey Burke","• 2021 second round pick (?-?)","trade with Jazz"
"201","2016-07-07","Bucks","• Matthew Dellavedova / Matt Dellavedova","• rights to Albert Miralles","trade with Cavaliers"
"202","2016-07-07","Cavaliers","• rights to Albert Miralles","• Matthew Dellavedova / Matt Dellavedova","trade with Bucks"
"203","2016-07-07","Bulls","• rights to Albert Miralles","• Mike Dunleavy Jr.• rights to Vladimir Veremeenko","trade with Cavaliers"
"204","2016-07-07","Cavaliers","• Mike Dunleavy Jr.• rights to Vladimir Veremeenko","• rights to Albert Miralles","trade with Bulls"
"205","2016-07-10","Heat","• Luke Babbitt","• 2018 second round pick (#51-Tony Carr)• cash","trade with Pelicans"
"206","2016-07-10","Pelicans","• 2018 second round pick (#51-Tony Carr)• cash","• Luke Babbitt","trade with Heat"
"207","2016-07-12","Grizzlies","• Troy Daniels","• cash• traded player exception","trade with Hornets"
"208","2016-07-12","Hornets","• cash• traded player exception","• Troy Daniels","trade with Grizzlies"
"209","2016-07-15","76ers","• Sasha Kaun• cash","• rights to Chukwudiebere Maduabum / Chu Chu Maduabum","trade with Cavaliers"
"210","2016-07-15","Cavaliers","• rights to Chukwudiebere Maduabum / Chu Chu Maduabum","• Sasha Kaun• cash","trade with 76ers"
"211","2016-07-15","Clippers","• Roy Devyn Marble / Roy Marble (Devyn)• 2020 second round pick (?-?)","• C.J. Wilcox• cash","trade with Magic"
"212","2016-07-15","Magic","• C.J. Wilcox• cash","• Roy Devyn Marble / Roy Marble (Devyn)• 2020 second round pick (?-?)","trade with Clippers"
"213","2016-08-26","76ers","• Tibor Pleiss• 2017 second round pick (most favorable of Jazz, Knicks, Pistons, Warriors picks) (#36-Jonah Bolden)• 2017 second round pick (least favorable of Jazz, Knicks, Pistons, Warriors picks) (#60-Alpha Kaba)","• Kendall Marshall","trade with Jazz"
"214","2016-08-26","Jazz","• Kendall Marshall","• Tibor Pleiss• 2017 second round pick (most favorable of Jazz, Knicks, Pistons, Warriors picks) (#36-Jonah Bolden)• 2017 second round pick (least favorable of Jazz, Knicks, Pistons, Warriors picks) (#60-Alpha Kaba)","trade with 76ers"
"215","2016-08-30","Nuggets","• second round pick (protected top 35 in 2017, unprotected in 2018) (2017 #49-Vlatko Cancar)• second round pick (protected top 35 2017, unprotected in 2018) (2017 #51-Monte Morris)","• Joffrey Lauvergne","trade with Thunder"
"216","2016-08-30","Thunder","• Joffrey Lauvergne","• second round pick (protected top 35 in 2017, unprotected in 2018) (2017 #49-Vlatko Cancar)• second round pick (protected top 35 2017, unprotected in 2018) (2017 #51-Monte Morris)","trade with Nuggets"
"217","2016-09-22","Bucks","• Michael Beasley","• Tyler Ennis","trade with Rockets"
"218","2016-09-22","Rockets","• Tyler Ennis","• Michael Beasley","trade with Bucks"
"219","2016-10-17","Bucks","• Tony Snell","• Michael Carter-Williams","trade with Bulls"
"220","2016-10-17","Bulls","• Michael Carter-Williams","• Tony Snell","trade with Bucks"
"221","2016-11-01","76ers","• Ersan Ilyasova• 2020 first round pick (protected top 20 in 2020, else 2022 second round pick, 2023 second round pick) (?-?)","• Jerami Grant","trade with Thunder"
"222","2016-11-01","Thunder","• Jerami Grant","• Ersan Ilyasova• 2020 first round pick (protected top 20 in 2020, else 2022 second round pick, 2023 second round pick) (?-?)","trade with 76ers"
"223","2017-01-06","Blazers","• 2017 first round pick (#26-Caleb Swanigan)","• 2018 first round pick (#25-Moritz Wagner / Moe Wagner)","trade with Cavaliers"
"224","2017-01-06","Cavaliers","• 2018 first round pick (#25-Moritz Wagner / Moe Wagner)","• 2017 first round pick (#26-Caleb Swanigan)","trade with Blazers"
"225","2017-01-07","Cavaliers","• Kyle Korver","• Mike Dunleavy• Maurice Williams / Mo Williams• first round pick (protected top 10 in 2019-20, else 2021 second round pick and 2022 second round pick) (?-?)• cash considerations","trade with Hawks"
"226","2017-01-07","Hawks","• Mike Dunleavy• Maurice Williams / Mo Williams• first round pick (protected top 10 in 2019-20, else 2021 second round pick and 2022 second round pick) (?-?)• cash considerations","• Kyle Korver","trade with Cavaliers"
"227","2017-01-18","Hawks","• rights to Cenk Akyol• traded player exception","• Maurice Williams / Mo Williams• cash","trade with Nuggets"
"228","2017-01-18","Nuggets","• Maurice Williams / Mo Williams• cash","• rights to Cenk Akyol• traded player exception","trade with Hawks"
"229","2017-02-02","Bucks","• Roy Hibbert• Spencer Hawes","• Miles Plumlee• cash","trade with Hornets"
"230","2017-02-02","Hornets","• Miles Plumlee• cash","• Roy Hibbert• Spencer Hawes","trade with Bucks"
"231","2017-02-12","Blazers","• Jusuf Nurkic• first round pick (protected top 5 in 2017-18, unprotected in 2019) (2017 #20-Harry Giles)","• Mason Plumlee• 2018 second round pick (less favorable of Blazers, Kings picks) (#54-Shake Milton)• cash","trade with Nuggets"
"232","2017-02-12","Nuggets","• Mason Plumlee• 2018 second round pick (from Nuggets) (less favorable of Blazers, Kings picks) (#54-Shake Milton)• cash","• Jusuf Nurkic• first round pick (protected top 5 in 2017-18, unprotected in 2019) (2017 #20-Harry Giles)","trade with Blazers"
"233","2017-02-13","Cavaliers","• 2017 second round pick (protected top 55) (not exercised)","• Chris Andersen• cash","trade with Hornets"
"234","2017-02-13","Hornets","• Chris Andersen• cash","• 2017 second round pick (protected top 55) (not exercised)","trade with Cavaliers"
"235","2017-02-14","Magic","• Terrence Ross• draft pick(s) (less favorable of Clippers, Raptors first round picks, Clippers pick protected top 14 in 2017-19, Raptors pick protected top 10 in 2017, top 14 in 2018-22, else Raptors 2022 second round pick, Raptors 2023 second round pick) (2017 #25-Anzejs Pasecniks)","• Serge Ibaka","trade with Raptors"
"236","2017-02-14","Raptors","• Serge Ibaka","• Terrence Ross• draft pick(s) (less favorable of Clippers, Raptors first round picks, Clippers pick protected top 14 in 2017-19, Raptors pick protected top 10 in 2017, top 14 in 2018-22, else Raptors 2022 second round pick, Raptors 2023 second round pick) (2017 #25-Anzejs Pasecniks)","trade with Magic"
"237","2017-02-19","Kings","• Buddy Hield• Tyreke Evans• Langston Galloway• first round pick (protected top 3 in 2017, unprotected in 2018) (2017 #10-Zach Collins)• 2017 second round pick (#34-Frank Mason)","• DeMarcus Cousins• Omri Casspi","trade with Pelicans"
"238","2017-02-19","Pelicans","• DeMarcus Cousins• Omri Casspi","• Buddy Hield• Tyreke Evans• Langston Galloway• first round pick (protected top 3 in 2017, unprotected in 2018) (2017 #10-Zach Collins)• 2017 second round pick (#34-Frank Mason)","trade with Kings"
"239","2017-02-22","76ers","• Tiago Splitter• second round pick (protected top 40 in 2017, unprotected in 2018) (2017 #46-Sterling Brown)• 76ers option to swap 2017 second round picks (least favorable of Jazz, Knicks, Pistons, Warriors picks received in earlier trade with Jazz) with Hawks (Hawks pick protected #56-60) (#50-Mathias Lessort)","• Ersan Ilyasova• 76ers option to swap 2017 second round picks (least favorable of Jazz, Knicks, Pistons, Warriors picks received in earlier trade with Jazz) with Hawks (Hawks pick protected #56-60) (#60-Alpha Kaba)","trade with Hawks"
"240","2017-02-22","Hawks","• Ersan Ilyasova• 76ers option to swap 2017 second round picks (least favorable of Jazz, Knicks, Pistons, Warriors picks received in earlier trade with Jazz) with Hawks (Hawks pick protected #56-60) (#60-Alpha Kaba)","• Tiago Splitter• second round pick (protected top 40 in 2017, unprotected in 2018) (2017 #46-Sterling Brown)• 76ers option to swap 2017 second round picks (least favorable of Jazz, Knicks, Pistons, Warriors picks received in earlier trade with Jazz) with Hawks (Hawks pick protected #56-60) (#50-Mathias Lessort)","trade with 76ers"
"241","2017-02-22","Nets","• Andrew Nicholson• Marcus Thornton (T.)• first round pick (protected top 14 in 2017-21, top 10 in 2022, else 2022 second round pick, 2023 second round pick) (2017 #22-Jarrett Allen)","• Bojan Bogdanovic• Chris McCullough","trade with Wizards"
"242","2017-02-22","Wizards","• Bojan Bogdanovic• Chris McCullough","• Andrew Nicholson• Marcus Thornton (T.)• first round pick (protected top 14 in 2017-21, top 10 in 2022, else 2022 second round pick, 2023 second round pick) (2017 #22-Jarrett Allen)","trade with Nets"
"243","2017-02-23","76ers","• Andrew Bogut• Justin Anderson• conditional draft pick(s) (2017 first round pick protected top 18, else 2017 second round pick, 2020 second round pick (protected #56-60)) (2017 #39-Jawun Evans) (2020 ?-?)","• Nerlens Noel","trade with Mavericks"
"244","2017-02-23","Bucks","• 2019 second round pick (protected top 55) (?-?)","• Roy Hibbert","trade with Nuggets"
"245","2017-02-23","Bulls","• Cameron Payne• Joffrey Lauvergne• Anthony Morrow","• Taj Gibson• Doug McDermott• 2018 second round pick (#36-Mitchell Robinson)","trade with Thunder"
"246","2017-02-23","Hawks","• 2017 second round pick (protected top 55) (not exercised)","• Mike Scott• rights to Cenk Akyol• cash","trade with Suns"
"247","2017-02-23","Lakers","• Corey Brewer• 2017 first round pick (#28-Tony Bradley)","• Louis Williams / Lou Williams","trade with Rockets"
"248","2017-02-23","Lakers","• Tyler Ennis• rights to Brad Newley","• Marcelinho Huertas / Marcelo Huertas","trade with Rockets"
"249","2017-02-23","Mavericks","• Nerlens Noel","• Andrew Bogut• Justin Anderson• conditional draft pick(s) (2017 first round pick protected top 18, else 2017 second round pick, 2020 second round pick (protected #56-60)) (2017 #39-Jawun Evans) (2020 ?-?)","trade with 76ers"
"250","2017-02-23","Nets","• K.J. McDaniels","• cash considerations","trade with Rockets"
"251","2017-02-23","Nuggets","• Roy Hibbert","• 2019 second round pick (protected top 55) (?-?)","trade with Bucks"
"252","2017-02-23","Raptors","• P.J. Tucker","• Jared Sullinger• 2017 second round pick (#54-Alec Peters)• 2018 second round pick (#59-George King)","trade with Suns"
"253","2017-02-23","Rockets","• cash considerations","• K.J. McDaniels","trade with Nets"
"254","2017-02-23","Rockets","• Louis Williams / Lou Williams","• Corey Brewer• 2017 first round pick (#28-Tony Bradley)","trade with Lakers"
"255","2017-02-23","Rockets","• Marcelinho Huertas / Marcelo Huertas","• Tyler Ennis• rights to Brad Newley","trade with Lakers"
"256","2017-02-23","Suns","• Jared Sullinger• 2017 second round pick (#54-Alec Peters)• 2018 second round pick (#59-George King)","• P.J. Tucker","trade with Raptors"
"257","2017-02-23","Suns","• Mike Scott• rights to Cenk Akyol• cash","• 2017 second round pick (protected top 55) (not exercised)","trade with Hawks"
"258","2017-02-23","Thunder","• Taj Gibson• Doug McDermott• 2018 second round pick (#36-Mitchell Robinson)","• Cameron Payne• Joffrey Lauvergne• Anthony Morrow","trade with Bulls"
"259","2017-06-19","76ers","• 2017 first round pick (#1-Markelle Fultz)","• 2017 first round pick (#3-Jayson Tatum)• first round pick (Lakers 2018 pick if it is #2-5, else more favorable of 76ers, Kings 2019 first round picks unless that pick is #1 overall in which case less favorable of 76ers, Kings picks) (?-?)","trade with Celtics"
"260","2017-06-19","Celtics","• 2017 first round pick (#3-Jayson Tatum)• first round pick (Lakers 2018 pick if it is #2-5, else more favorable of 76ers, Kings 2019 first round picks unless that pick is #1 overall in which case less favorable of 76ers, Kings picks) (?-?)","• 2017 first round pick (#1-Markelle Fultz)","trade with 76ers"
"261","2017-06-20","Hawks","• Marco Belinelli• Miles Plumlee• 2017 second round pick (#41-Tyler Dorsey)","• Dwight Howard• 2017 second round pick (#31-Frank Jackson)","trade with Hornets"
"262","2017-06-20","Hornets","• Dwight Howard• 2017 second round pick (#31-Frank Jackson)","• Marco Belinelli• Miles Plumlee• 2017 second round pick (#41-Tyler Dorsey)","trade with Hawks"
"263","2017-06-21","Pelicans","• 2017 second round pick (#52-Edmond Sumner)","• Tim Frazier","trade with Wizards"
"264","2017-06-21","Wizards","• Tim Frazier","• 2017 second round pick (#52-Edmond Sumner)","trade with Pelicans"
"265","2017-06-22","76ers","• rights to Anzejs Pasecniks","• draft pick(s) (first round pick exactly two years after Thunder conveys first round pick to Jazz, protected top 20 in 2020-22, else 2022 second round pick and 2023 second round pick) (?-?)• 2020 second round pick (less favorable of Knicks, Nets picks) (?-?)","trade with Magic"
"266","2017-06-22","Blazers","• rights to Zach Collins","• rights to Justin Jackson• rights to Harry Giles","trade with Kings"
"267","2017-06-22","Bucks","• $2M cash","• rights to Sindarius Thornwell","trade with Clippers"
"268","2017-06-22","Bulls","• $3.5M cash","• rights to Jordan Bell","trade with Warriors"
"269","2017-06-22","Bulls","• Zach LaVine• Kris Dunn• rights to Lauri Markkanen","• Jimmy Butler• rights to Justin Patton","trade with Timberwolves"
"270","2017-06-22","Clippers","• rights to Sindarius Thornwell","• $2M cash","trade with Bucks"
"271","2017-06-22","Grizzlies","• rights to Dillon Brooks","• 2018 second round pick (least favorable of Grizzlies, Heat, Hornets picks) (#46-De'Anthony Melton)","trade with Rockets"
"272","2017-06-22","Grizzlies","• rights to Ivan Rabb","• 2019 second round pick (?-?)","trade with Magic"
"273","2017-06-22","Hornets","• rights to Dwayne Bacon• $1.8M cash","• rights to Frank Jackson","trade with Pelicans"
"274","2017-06-22","Jazz","• rights to Donovan Mitchell","• Trey Lyles• rights to Tyler Lydon","trade with Nuggets"
"275","2017-06-22","Jazz","• rights to Tony Bradley","• rights to Josh Hart• rights to Thomas Bryant","trade with Lakers"
"276","2017-06-22","Kings","• rights to Justin Jackson• rights to Harry Giles","• rights to Zach Collins","trade with Blazers"
"277","2017-06-22","Lakers","• Brook Lopez• rights to Kyle Kuzma","• D'Angelo Russell• Timofey Mozgov","trade with Nets"
"278","2017-06-22","Lakers","• rights to Josh Hart• rights to Thomas Bryant","• rights to Tony Bradley","trade with Jazz"
"279","2017-06-22","Magic","• 2019 second round pick (?-?)","• rights to Ivan Rabb","trade with Grizzlies"
"280","2017-06-22","Magic","• draft pick(s) (first round pick exactly two years after Thunder conveys first round pick to Jazz, protected top 20 in 2020-22, else 2022 second round pick and 2023 second round pick) (?-?)• 2020 second round pick (less favorable of Knicks, Nets picks) (?-?)","• rights to Anzejs Pasecniks","trade with 76ers"
"281","2017-06-22","Nets","• D'Angelo Russell• Timofey Mozgov","• Brook Lopez• rights to Kyle Kuzma","trade with Lakers"
"282","2017-06-22","Nuggets","• Trey Lyles• rights to Tyler Lydon","• rights to Donovan Mitchell","trade with Jazz"
"283","2017-06-22","Pacers","• rights to Edmond Sumner","• $1M cash","trade with Pelicans"
"284","2017-06-22","Pelicans","• $1M cash","• rights to Edmond Sumner","trade with Pacers"
"285","2017-06-22","Pelicans","• rights to Frank Jackson","• rights to Dwayne Bacon• $1.8M cash","trade with Hornets"
"286","2017-06-22","Rockets","• 2018 second round pick (least favorable of Grizzlies, Heat, Hornets picks) (#46-De'Anthony Melton)","• rights to Dillon Brooks","trade with Grizzlies"
"287","2017-06-22","Timberwolves","• Jimmy Butler• rights to Justin Patton","• Zach LaVine• Kris Dunn• rights to Lauri Markkanen","trade with Bulls"
"288","2017-06-22","Warriors","• rights to Jordan Bell","• $3.5M cash","trade with Bulls"
"289","2017-06-28","76ers","• 2018 second round pick (#60-Kostas Antetokounmpo)• cash considerations","• Shawn Long","trade with Rockets"
"290","2017-06-28","Blazers","• cash considerations","• Tim Quarterman","trade with Rockets"
"291","2017-06-28","Hawks","• cash considerations","• Ryan Kelly","trade with Rockets"
"292","2017-06-28","Mavericks","• cash considerations","• DeAndre Liggins","trade with Rockets"
"293","2017-06-28","Pistons","• cash considerations","• Darrun Hilliard","trade with Rockets"
"294","2017-06-28","Rockets","• Darrun Hilliard","• cash considerations","trade with Pistons"
"295","2017-06-28","Rockets","• DeAndre Liggins","• cash considerations","trade with Mavericks"
"296","2017-06-28","Rockets","• Ryan Kelly","• cash considerations","trade with Hawks"
"297","2017-06-28","Rockets","• Shawn Long","• 2018 second round pick (#60-Kostas Antetokounmpo)• cash considerations","trade with 76ers"
"298","2017-06-28","Rockets","• Tim Quarterman","• cash considerations","trade with Blazers"
"299","2017-06-28","Clippers","• Patrick Beverley• Sam Dekker• Montrezl Harrell• Darrun Hilliard• DeAndre Liggins• Louis Williams / Lou Williams• Kyle Wiltjer• first round pick (protected top 3 in 2018-23, unprotected in 2024) (2018 #30-Omari Spellman)• $661K cash","• Chris Paul","trade with Rockets"
"300","2017-06-28","Rockets","• Chris Paul","• Patrick Beverley• Sam Dekker• Montrezl Harrell• Darrun Hilliard• DeAndre Liggins• Louis Williams / Lou Williams• Kyle Wiltjer• first round pick (protected top 3 in 2018-23, unprotected in 2024) (2018 #30-Omari Spellman)• $661K cash","trade with Clippers"
"301","2017-06-29","Mavericks","• cash","• Jarrod Uthoff","trade with Rockets"
"302","2017-06-29","Rockets","• Jarrod Uthoff","• cash","trade with Mavericks"
"303","2017-06-30","Jazz","• Ricky Rubio","• draft pick(s) (first round pick protected top 14 in 2018-20, else 2020 second round pick and 2021 second round pick) (2018 #20-Josh Okogie)","trade with Timberwolves"
"304","2017-06-30","Timberwolves","• draft pick(s) (first round pick protected top 14 in 2018-20, else 2020 second round pick and 2021 second round pick) (2018 #20-Josh Okogie)","• Ricky Rubio","trade with Jazz"
"305","2017-07-06","76ers","• cash considerations","• rights to Sterling Brown","trade with Bucks"
"306","2017-07-06","Bucks","• rights to Sterling Brown","• cash considerations","trade with 76ers"
"307","2017-07-06","Pacers","• Victor Oladipo• Domantas Sabonis / Domas Sabonis","• Paul George","trade with Thunder"
"308","2017-07-06","Thunder","• Paul George","• Victor Oladipo• Domantas Sabonis / Domas Sabonis","trade with Pacers"
"309","2017-07-06","Clippers","• Danilo Gallinari","• Jamal Crawford• Diamond Stone• first round pick (protected top 3 in 2018-23, unprotected in 2024) (2018 #30-Omari Spellman)• cash","3-team trade with Hawks, Nuggets"
"310","2017-07-06","Hawks","• Jamal Crawford• Diamond Stone• first round pick (protected top 3 in 2018-23, unprotected in 2024) (from Clippers) (2018 #30-Omari Spellman)• cash (from Clippers)","• 2019 second round pick (?-?)","3-team trade with Clippers, Nuggets"
"311","2017-07-06","Nuggets","• 2019 second round pick (from Hawks) (?-?)","• Danilo Gallinari","3-team trade with Clippers, Hawks"
"312","2017-07-06","76ers","• cash","• rights to Jawun Evans","trade with Clippers"
"313","2017-07-06","Clippers","• rights to Jawun Evans","• cash","trade with 76ers"
"314","2017-07-07","Celtics","• Marcus Morris","• Avery Bradley• 2019 second round pick (?-?)","trade with Pistons"
"315","2017-07-07","Heat","• A.J. Hammons","• Josh McRoberts• 2023 second round pick (?-?)• $5.1M cash","trade with Mavericks"
"316","2017-07-07","Mavericks","• Josh McRoberts• 2023 second round pick (?-?)• $5.1M cash","• A.J. Hammons","trade with Heat"
"317","2017-07-07","Pistons","• Avery Bradley• 2019 second round pick (?-?)","• Marcus Morris","trade with Celtics"
"318","2017-07-13","Nets","• DeMarre Carroll• draft pick(s) (first round pick protected top 14 in 2018-23, else 2023 second round pick and 2024 second round pick) (2018 #29-Dzanan Musa)• 2018 second round pick (less favorable of Lakers, Magic picks) (#40-Rodions Kurucs)","• Justin Hamilton (b)","trade with Raptors"
"319","2017-07-13","Raptors","• Justin Hamilton (b)","• DeMarre Carroll• draft pick(s) (first round pick protected top 14 in 2018-23, else 2023 second round pick and 2024 second round pick) (2018 #29-Dzanan Musa)• 2018 second round pick (less favorable of Lakers, Magic picks) (#40-Rodions Kurucs)","trade with Nets"
"320","2017-07-14","Pacers","• Cory Joseph","• rights to Emir Preldzic","trade with Raptors"
"321","2017-07-14","Raptors","• rights to Emir Preldzic","• Cory Joseph","trade with Pacers"
"322","2017-07-25","Blazers","• Andrew Nicholson","• Allen Crabbe","trade with Nets"
"323","2017-07-25","Nets","• Allen Crabbe","• Andrew Nicholson","trade with Blazers"
"324","2017-08-22","Cavaliers","• Isaiah Thomas• Jae Crowder• Ante Zizic• 2018 first round pick (#8-Collin Sexton)• 2020 second round pick (?-?)","• Kyrie Irving","trade with Celtics"
"325","2017-08-22","Celtics","• Kyrie Irving","• Isaiah Thomas• Jae Crowder• Ante Zizic• 2018 first round pick (#8-Collin Sexton)• 2020 second round pick (?-?)","trade with Cavaliers"
"326","2017-09-01","Bulls","• Quincy Pondexter• 2018 second round pick (#51-Tony Carr)• cash","• rights to Ater Majok","trade with Pelicans"
"327","2017-09-01","Pelicans","• rights to Ater Majok","• Quincy Pondexter• 2018 second round pick (#51-Tony Carr)• cash","trade with Bulls"
"328","2017-09-22","Grizzlies","• 2018 second round pick (protected top 55) (not exercised)","• Troy Daniels• 2018 second round pick (second least favorable of Grizzlies, Heat, Hornets picks) (#41-Jarred Vanderbilt)","trade with Suns"
"329","2017-09-22","Suns","• Troy Daniels• 2018 second round pick (second least favorable of Grizzlies, Heat, Hornets picks) (#41-Jarred Vanderbilt)","• 2018 second round pick (protected top 55) (not exercised)","trade with Grizzlies"
"330","2017-09-25","Knicks","• Doug McDermott• Enes Kanter• 2018 second round pick (#36-Mitchell Robinson)","• Carmelo Anthony","trade with Thunder"
